nombre,ciudad,estado,direccion,telefono
Nissan Baja,tijuana,baja california,"Avendia, Xavier Villaurrutia 9950, Zona Urbana Rio Tijuana, 22320 Tijuana, B.C.",664 683 4311
"Automotriz Santiago, S.A. De C.V.",tijuana,baja california,"Calz del Tecnológico 10, Tomas Aquino, 22414 Tijuana, B.C.",664 682 1861
MGM AUTOMOTRIZ,tijuana,baja california,"BLVD. MANUEL J. CLOUTHIER #18324-B, AMPLIACION GUAYCURA, 22214 Tijuana, B.C.",664 625 1351
Ford Surman BC,tijuana,baja california,"Vía Rápida Ote #11942, Buena Vista, Sepanal, Tijuana, B.C.",664 682 7000
Volkswagen Emporio Automotriz Tijuana,tijuana,baja california,"Blvrd Gral Rodolfo Sánchez Taboada 10350, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C.",664 634 2444
Honda Optima Tijuana,tijuana,baja california,"Blvd. Padre Kino 4300, Defensores de Baja California, 22320 Tijuana, B.C.",664 900 9000
"Auto Productos de la Costa, suc. Vía Rápida Pte.",tijuana,baja california," Av. Vía Rápida Pte. 15471, La Cienega, 22114 Tijuana, B.C.",664 969 1900
Renault Tijuana,tijuana,baja california,"Ave, Vía Rápida Ote 11836, Mineral de Santa Fe, 22416 Tijuana, B.C.",664 607 3738
Toyota Tijuana,tijuana,baja california," Av. Vía Rápida Pte. 15155, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C.",664 103 6699
Mazda Tijuana,tijuana,baja california,"Av. Vía Rápida Pte. 15305, Rio Tijuana 3ra Etapa, 22226 Tijuana, B.C.",664 134 4444
Chevrolet Vía Rapida,tijuana,baja california,"Av. Vía Rápida Pte. 4902, Rio Tijuana 3ra Etapa, 22226 Tijuana, B.C.",664 211 6500
PEUGEOT TIJUANA,tijuana,baja california,"Blvd. Padre Kino No.10102, Zona Urbana Rio Tijuana, 22010 Tijuana, B.C.",664 607 3146
Black jack automotriz,Mexicali,baja california,"Blvrd Lázaro Cárdenas 520, Jardines del Lago, 21330 Mexicali, B.C.",686 946 0501
Chevrolet Mexicali,Mexicali,baja california,"Calzada Justo Sierra S/N, Nueva, 21100 Mexicali, B.C.",686 905 5800
Volkswagen Centinela,Mexicali,baja california,"Boulevard Adolfo López Mateos 936, Zona Industrial, 21010 Mexicali, B.C.",686 838 7000
Ford Mexicali,Mexicali,baja california,"Blvrd Lázaro Cárdenas 1801, Ex-Ejido Zacatecas, 21090 Mexicali, B.C.",800 654 2886
Mazda Mexicali,Mexicali,baja california,"Blvrd Lázaro Cárdenas 1801, Fraccionamiento Villa Mediterranea, 21090 Mexicali, B.C.",800 654 2886
FIAT,Mexicali,baja california,"Blvrd Lázaro Cárdenas 1598, Desarrollo Urbano Zacatecas II, 21389 Mexicali, B.C.",686 561 5739
Ford Ensenada,Ensenada,baja california,"México 1 200, Loma Linda, 22890 Ensenada, B.C.",646 173 9200
Peugeot Ensenada,Ensenada,baja california,"Transpeninsular #86, Carlos Pacheco, Carlos Pacheco 4, 22890 Ensenada, B.C.",646 152 1710
KIA Visión,Ensenada,baja california,"Lázaro Cárdenas 1509, Bahia Ensenada, 22880 Ensenada, B.C.",646 900 9500
Renault Ensenada,Ensenada,baja california,"Militar, 22880 Ensenada, B.C.",646 152 1710
Ensenada Fiat,Ensenada,baja california," Blvd. Costero #2901, Carlos Pacheco, Carlos Pacheco 4, 22880 Ensenada, B.C.",646 900 9100
Chevrolet Ensenada,Ensenada,baja california,"Blvd. Costero #2797, Playa Ensenada, 22880 Ensenada, B.C.",646 176 0208
NISSAN TECATE,Tecate,baja california,"Av Nuevo León, Loma Alta, 21460 Tecate, B.C.",665 521 3234
ALTATECH Transmisiones Y Motores,Tecate,baja california,"Blvrd Universidad 55, Militar, 21470 Tecate, B.C.",665 122 2558
